problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 8781, 2653, 181, 4118, timeout, 3731
abz6.fjs, 8294, 4995, 246, 3809, timeout, 3174
abz7.fjs, 368, 0, 0, 0, timeout, none
abz8.fjs, 352, 0, 0, 0, timeout, none
abz9.fjs, 353, 0, 0, 0, timeout, none
car1.fjs, 29062, 116, 3, 14479, timeout, 17071
car2.fjs, 23184, 23165, 770, 10780, timeout, 22946
car3.fjs, 20797, 416, 3, 10344, timeout, 17594
car4.fjs, 23833, 4139, 152, 11720, timeout, 13770
car5.fjs, 14516, 8180, 13, 7196, timeout, 15906
car6.fjs, 25915, 25900, 1611, 11277, timeout, 33209
car7.fjs, 26112, 15091, 1732, 11282, timeout, 12295
car8.fjs, 18849, 136, 2, 9363, timeout, 19002
la01.fjs, 33110, 95, 2, 16509, timeout, 1911
la02.fjs, 35282, 89, 1, 17595, timeout, 1712
la03.fjs, 25374, 103, 3, 12642, timeout, 1246
la04.fjs, 26843, 628, 3, 13377, timeout, 1395
la05.fjs, 29588, 475, 58, 14697, timeout, 1401
la06.fjs, 16756, 278, 3, 8310, timeout, 2420
la07.fjs, 25364, 25347, 1282, 11332, timeout, 2464
la08.fjs, 12795, 3312, 8, 6324, timeout, 1915
la09.fjs, 19689, 19678, 978, 8802, timeout, 3286
la10.fjs, 14446, 401, 6, 7151, timeout, 2190
la11.fjs, 10356, 609, 8, 5081, timeout, 2913
la12.fjs, 19617, 19530, 1932, 7788, timeout, 2745
la13.fjs, 9896, 176, 1, 4862, timeout, 2766
la14.fjs, 12383, 303, 9, 6095, timeout, 2682
la15.fjs, 11099, 196, 3, 5456, timeout, 2913
la16.fjs, 8616, 451, 6, 4209, timeout, 2688
la17.fjs, 6805, 1666, 13, 3298, timeout, 2624
la18.fjs, 8291, 394, 3, 4050, timeout, 3151
